,importance
Engine.Type_Electric,0.0
Purpose.of.Flight_Air Drop,0.0
"Engine.Type_REC, ELEC",0.0
"Engine.Type_REC, TJ, REC, TJ",0.0
"Engine.Type_REC, TJ, TJ",0.0
Aircraft.Category_Powered-Lift,0.0
"Engine.Type_TJ, REC, REC, TJ",0.0
Engine.Type_Hybrid Rocket,0.0
Aircraft.Category_Rocket,0.0
Aircraft.Category_Blimp,2.1753674574564953e-07
Engine.Type_None,1.3916909941974212e-06
Purpose.of.Flight_Firefighting,3.107232338089878e-05
Aircraft.Category_Ultralight,0.00012760924218855216
Purpose.of.Flight_External Load,0.00018402389126244518
Number.of.Engines_3.0,0.0001865521801121658
Aircraft.Category_Gyroplane,0.00020327207450697698
Amateur.Built_Unknown,0.00021966816163814624
Broad.Phase.of.Flight_OTHER,0.00023913990686150882
Aircraft.Category_Gyrocraft,0.0002454155013355585
Purpose.of.Flight_Public Aircraft - Local,0.000263918796697179
Purpose.of.Flight_Public Aircraft - Federal,0.0002744612438343508
Purpose.of.Flight_Public Aircraft - State,0.00028164335198531214
Number.of.Engines_4.0,0.0003540046230634914
Purpose.of.Flight_Glider Tow,0.0003929905856532618
Purpose.of.Flight_Ferry,0.0005229836706990581
Model_10_182,0.0005371862968294542
Purpose.of.Flight_Skydiving,0.000548947906423374
Model_10_SR22,0.0005798763448160916
Model_10_A36,0.0006510540415778454
Purpose.of.Flight_Public Aircraft,0.0006753743288759004
Purpose.of.Flight_Executive/Corporate,0.0006966452913634563
Model_10_172S,0.0007294274566632821
Purpose.of.Flight_Banner Tow,0.0007493066605125159
Model_10_172N,0.0008124169879198048
Make_10_BELLANCA,0.0009438792069705735
Model_10_172,0.000987572947362581
Make_10_HUGHES,0.0009997041699589186
Engine.Type_Turbo Jet,0.0011061312168958882
Purpose.of.Flight_Air Race/Show,0.0012004026774524782
Model_10_180,0.001308686867640056
Make_10_SCHWEIZER,0.0013170046093223843
Purpose.of.Flight_Flight Test,0.0013532624633729778
Model_10_PA-28-140,0.0014820112621490092
Aircraft.Category_Glider,0.0015169815887972784
Model_10_152,0.0019537284090085354
Aircraft.Category_Weight-Shift,0.0019945528640098664
Purpose.of.Flight_Aerial Observation,0.002285969942315097
Weather.Condition_UNK,0.0023125634896505824
Purpose.of.Flight_Positioning,0.0023141718009421454
Make_10_MOONEY,0.0024218482087510185
Aircraft.Category_Balloon,0.0024552802761647176
Purpose.of.Flight_Other Work Use,0.002471451074093605
Aircraft.Category_Powered Parachute,0.0024726895387986946
Purpose.of.Flight_Business,0.0025599487088634547
Make_10_ROBINSON,0.0026183630656977782
Make_10_BELL,0.0026997161754092483
Year_2016,0.002746779267796053
Year_2018,0.002877099458510742
Year_2013,0.0030592105351660297
Year_2015,0.0031108529812504133
Year_2019,0.00313199935060974
Broad.Phase.of.Flight_STANDING,0.003154081551731881
Make_10_BOEING,0.003248189011132026
Year_2014,0.003408184815754036
Year_2009,0.0034458069735692084
Year_2002,0.0036204644822355075
Year_2017,0.0037676453056002196
Month_2,0.0038300835523099844
Year_2003,0.003941659561587007
Year_2007,0.004072568637367424
Engine.Type_Turbo Shaft,0.0041138783308223344
Year_2004,0.004199314472423762
Month_11,0.004353641146629676
Month_12,0.004401854948283142
Year_2000,0.004459630937312496
Model_10_OTHER,0.0045034510616828735
Month_1,0.004597895565583676
Year_2001,0.004626454611728606
Year_2010,0.004680246454314234
Month_10,0.00470589042777825
Year_2008,0.004783975150638328
Month_3,0.004851133259184326
Year_2012,0.00486297937792218
Broad.Phase.of.Flight_DESCENT,0.00487368038910108
Month_4,0.004893494225898184
Broad.Phase.of.Flight_GO-AROUND,0.0049126611721702585
Month_7,0.0050212929556693086
Month_6,0.005035873218152814
Engine.Type_Turbo Prop,0.005141665558162745
Make_10_BEECH,0.005153064580421128
Month_9,0.005173506412191194
Month_8,0.005330261925007404
Month_5,0.005371284369139888
Engine.Type_Unknown,0.005496506028161315
Year_2005,0.005577806901140631
Make_10_PIPER,0.005765641750510033
Year_2011,0.006424194379773914
Number.of.Engines_0.0,0.006830074504245783
Year_2006,0.007127271545968585
Aircraft.Category_Helicopter,0.007255331429959679
Purpose.of.Flight_Aerial Application,0.007313011866218774
Broad.Phase.of.Flight_CLIMB,0.008012647746558368
Broad.Phase.of.Flight_UNKNOWN,0.008532954331279645
Engine.Type_Reciprocating,0.01000852710145653
Number.of.Engines_1.0,0.01067133332418519
Purpose.of.Flight_Unknown,0.011296394668233381
Engine.Type_Turbo Fan,0.012247859049478536
Number.of.Engines_2.0,0.012557537564323904
Broad.Phase.of.Flight_CRUISE,0.013993530869207958
Make_10_CESSNA,0.014616311455118483
Purpose.of.Flight_Instructional,0.01562958550166613
Make_10_OTHER,0.01760753638575619
Amateur.Built_No,0.018793527334930796
Purpose.of.Flight_Personal,0.019054940359602993
Aircraft.Category_Unknown,0.019671826357405362
Aircraft.Category_Airplane,0.02010857357151152
Amateur.Built_Yes,0.02204049667083893
Broad.Phase.of.Flight_TAKEOFF,0.02315094860113619
Broad.Phase.of.Flight_APPROACH,0.026910017770545244
Weather.Condition_VMC,0.043853548171680044
Broad.Phase.of.Flight_TAXI,0.04458674523475948
Weather.Condition_IMC,0.045828397133783755
Broad.Phase.of.Flight_MANEUVERING,0.0687551139479692
Broad.Phase.of.Flight_LANDING,0.2525355317481879
